name,type,size
.idea,directory,3378
.gitignore,file,50
inspectionProfiles,directory,174
profiles_settings.xml,file,174
misc.xml,file,200
modules.xml,file,275
seminar8.iml,file,361
workspace.xml,file,2318
main.py,file,544
task.py,file,2381
venv,directory,13403028
.gitignore,file,42
Include,directory,0
Lib,directory,11992149
site-packages,directory,11992149
distutils-precedence.pth,file,151
pip,directory,6847400
py.typed,file,286
_internal,directory,1035611
build_env.py,file,10234
cache.py,file,10734
cli,directory,87806
autocompletion.py,file,6676
base_command.py,file,7842
cmdoptions.py,file,29381
command_context.py,file,774
main.py,file,2472
main_parser.py,file,4338
parser.py,file,10817
progress_bars.py,file,1968
req_command.py,file,18172
spinners.py,file,5118
status_codes.py,file,116
__init__.py,file,132
commands,directory,119848
cache.py,file,7582
check.py,file,1685
completion.py,file,4129
configuration.py,file,9815
debug.py,file,6573
download.py,file,5289
freeze.py,file,2951
hash.py,file,1703
help.py,file,1132
index.py,file,4762
inspect.py,file,3374
install.py,file,31726
list.py,file,12343
search.py,file,5697
show.py,file,6129
uninstall.py,file,3680
wheel.py,file,7396
__init__.py,file,3882
configuration.py,file,13529
distributions,directory,10466
base.py,file,1221
installed.py,file,729
sdist.py,file,6494
wheel.py,file,1164
__init__.py,file,858
exceptions.py,file,20942
index,directory,60686
collector.py,file,16503
package_finder.py,file,37596
sources.py,file,6557
__init__.py,file,30
locations,directory,34294
base.py,file,2573
_distutils.py,file,6302
_sysconfig.py,file,7867
__init__.py,file,17552
main.py,file,340
metadata,directory,59552
base.py,file,25277
importlib,directory,17627
_compat.py,file,1882
_dists.py,file,8181
_envs.py,file,7457
__init__.py,file,107
pkg_resources.py,file,9773
_json.py,file,2595
__init__.py,file,4280
models,directory,45927
candidate.py,file,990
direct_url.py,file,5877
format_control.py,file,2520
index.py,file,1030
installation_report.py,file,2617
link.py,file,18083
scheme.py,file,738
search_scope.py,file,4644
selection_prefs.py,file,1907
target_python.py,file,3858
wheel.py,file,3600
__init__.py,file,63
network,directory,52426
auth.py,file,12190
cache.py,file,2145
download.py,file,6096
lazy_wheel.py,file,7638
session.py,file,18443
utils.py,file,4073
xmlrpc.py,file,1791
__init__.py,file,50
operations,directory,87624
build,directory,14723
build_tracker.py,file,4133
metadata.py,file,1404
metadata_editable.py,file,1456
metadata_legacy.py,file,2198
wheel.py,file,1063
wheel_editable.py,file,1405
wheel_legacy.py,file,3064
__init__.py,file,0
check.py,file,5109
freeze.py,file,9784
install,directory,32917
editable_legacy.py,file,1354
legacy.py,file,4105
wheel.py,file,27407
__init__.py,file,51
prepare.py,file,25091
__init__.py,file,0
pyproject.py,file,7074
req,directory,99567
constructors.py,file,16611
req_file.py,file,17646
req_install.py,file,35600
req_set.py,file,2858
req_uninstall.py,file,24045
__init__.py,file,2807
resolution,directory,111906
base.py,file,583
legacy,directory,24129
resolver.py,file,24129
__init__.py,file,0
resolvelib,directory,87194
base.py,file,5220
candidates.py,file,18963
factory.py,file,27878
found_candidates.py,file,5705
provider.py,file,9914
reporter.py,file,2526
requirements.py,file,5455
resolver.py,file,11533
__init__.py,file,0
__init__.py,file,0
self_outdated_check.py,file,8020
utils,directory,118977
appdirs.py,file,1665
compat.py,file,1884
compatibility_tags.py,file,5377
datetime.py,file,242
deprecation.py,file,5764
direct_url_helpers.py,file,3206
distutils_args.py,file,1115
egg_link.py,file,2203
encoding.py,file,1169
entrypoints.py,file,3064
filesystem.py,file,5122
filetypes.py,file,716
glibc.py,file,3110
hashes.py,file,4831
inject_securetransport.py,file,795
logging.py,file,11632
misc.py,file,21617
models.py,file,1193
packaging.py,file,2108
setuptools_build.py,file,5662
subprocess.py,file,9197
temp_dir.py,file,7702
unpacking.py,file,8821
urls.py,file,1759
virtualenv.py,file,3459
wheel.py,file,4549
_log.py,file,1015
__init__.py,file,0
vcs,directory,62007
bazaar.py,file,3518
git.py,file,18116
mercurial.py,file,5238
subversion.py,file,11728
versioncontrol.py,file,22811
__init__.py,file,596
wheel_builder.py,file,13079
__init__.py,file,573
_vendor,directory,5808504
cachecontrol,directory,48131
adapter.py,file,5033
cache.py,file,1535
caches,directory,6546
file_cache.py,file,5271
redis_cache.py,file,1033
__init__.py,file,242
compat.py,file,778
controller.py,file,16416
filewrapper.py,file,3946
heuristics.py,file,4154
serialize.py,file,7105
wrapper.py,file,774
_cmd.py,file,1379
__init__.py,file,465
certifi,directory,290998
cacert.pem,file,286370
core.py,file,4279
__init__.py,file,94
__main__.py,file,255
chardet,directory,1092504
big5freq.py,file,31274
big5prober.py,file,1741
chardistribution.py,file,9608
charsetgroupprober.py,file,3817
charsetprober.py,file,4801
cli,directory,2406
chardetect.py,file,2406
__init__.py,file,0
codingstatemachine.py,file,3559
cp949prober.py,file,1838
enums.py,file,1619
escprober.py,file,3864
escsm.py,file,12021
eucjpprober.py,file,3676
euckrfreq.py,file,13566
euckrprober.py,file,1731
euctwfreq.py,file,36913
euctwprober.py,file,1731
gb2312freq.py,file,20735
gb2312prober.py,file,1737
hebrewprober.py,file,13919
jisfreq.py,file,25796
johabfreq.py,file,42498
johabprober.py,file,1730
jpcntx.py,file,26797
langbulgarianmodel.py,file,104562
langgreekmodel.py,file,98484
langhebrewmodel.py,file,98196
langhungarianmodel.py,file,101363
langrussianmodel.py,file,128035
langthaimodel.py,file,102774
langturkishmodel.py,file,95372
latin1prober.py,file,5260
mbcharsetprober.py,file,3367
mbcsgroupprober.py,file,2056
mbcssm.py,file,30068
metadata,directory,13280
languages.py,file,13280
__init__.py,file,0
sbcharsetprober.py,file,6199
sbcsgroupprober.py,file,4129
sjisprober.py,file,3749
universaldetector.py,file,13288
utf1632prober.py,file,8289
utf8prober.py,file,2709
version.py,file,242
__init__.py,file,3705
colorama,directory,27348
ansi.py,file,2522
ansitowin32.py,file,10830
initialise.py,file,1915
win32.py,file,5404
winterm.py,file,6438
__init__.py,file,239
distlib,directory,1139219
compat.py,file,41259
database.py,file,51697
index.py,file,20834
locators.py,file,51991
manifest.py,file,14811
markers.py,file,5058
metadata.py,file,39801
resources.py,file,10820
scripts.py,file,18102
t32.exe,file,97792
t64-arm.exe,file,182784
t64.exe,file,108032
util.py,file,66262
version.py,file,23513
w32.exe,file,91648
w64-arm.exe,file,168448
w64.exe,file,101888
wheel.py,file,43898
__init__.py,file,581
distro,directory,49886
distro.py,file,48841
__init__.py,file,981
__main__.py,file,64
idna,directory,270310
codec.py,file,3374
compat.py,file,321
core.py,file,12950
idnadata.py,file,44375
intranges.py,file,1881
package_data.py,file,21
uts46data.py,file,206539
__init__.py,file,849
msgpack,directory,42850
exceptions.py,file,1081
ext.py,file,6080
fallback.py,file,34557
